Prodotto	Categoria	Sottocategoria	Descrizione	Prezzo
Margherita	La Pizzeria	Le Classiche	Salsa, Mozzarella, Olio, Origano.	€ 5,00
Romana	La Pizzeria	Le Classiche	Salsa, Mozzarella, Prosciutto Cotto.	€ 6,00
Patatosa	La Pizzeria	Le Classiche	Salsa, Mozzarella, Patatine*.	€ 6,00
Diavola	La Pizzeria	Le Classiche	Salsa, Mozzarella, Salame Piccante.	€ 6,00
Fungosa	La Pizzeria	Le Classiche	Salsa, Mozzarella, Funghi Freschi.	€ 6,00
Parmigiana	La Pizzeria	Le Classiche	Salsa, Mozzarella, Melanzane, Ciliegino, Scaglie, Basilico.	€ 7,00
Quattro Gusti	La Pizzeria	Le Classiche	Salsa, Mozzarella, Prosciutto Cotto, Funghi, Carciofi, Olive.	€ 6,50
Capricciosa	La Pizzeria	Le Classiche	Salsa, Mozzarella, Prosciutto Cotto, Funghi, Carciofi, Olive, Wurstel, Uovo.	€ 7,50
Garibaldina	La Pizzeria	Le Classiche	Salsa, Mozzarella, Funghi, Salsiccia, Svizzero.	€ 7,00
Tartufata	La Pizzeria	Le Classiche	Salsa, Mozzarella, Prosciutto Crudo, Funghi Tartufati, Scaglie.	€ 7,50
Ortolana	La Pizzeria	Le Classiche	Salsa, Mozzarella, Melanzane, Zucchine, Peperoni, Spinaci*.	€ 6,50
Quattro Formaggi	La Pizzeria	Le Classiche	Mozzarella, Svizzero, Scamorza, Gorgonzola.	€ 6,50
Al Tonno	La Pizzeria	Le Classiche	Salsa, Mozzarella, Tonno, Cipolla, Ciliegino, Olive, Prezzemolo.	€ 7,00
Facci di Vecchia	La Pizzeria	Le Classiche	Salsa, Acciughe, Cipolla, Formaggio, Origano.	€ 6,00
San Daniele	La Pizzeria	Le Classiche	Salsa, Mozzarella, Crudo, Scaglie.	€ 7,00
Napoli	La Pizzeria	Le Classiche	Salsa, Mozzarella, Acciughe, Olive, Olio all'Aglio, Origano.	€ 7,00
Rucola	La Pizzeria	Le Classiche	Salsa, Mozzarella, Rucola, Prosciutto Crudo, Scaglie.	€ 7,50
Bufalina	La Pizzeria	Le Classiche	Salsa, Mozzarella di Bufala, Basilico, Olio.	€ 7,00
Bresaola	La Pizzeria	Le Classiche	Salsa, Mozzarella, Rucola, Bresaola, Ciliegino, Scaglie, Glassa.	€ 8,00
Campagnola	La Pizzeria	Le Classiche	Salsa, Mozzarella, Patate Lesse, Salsiccia, Scaglie, Cipolla.	€ 7,50
Biancaneve	La Pizzeria	Le Bianche	Mozzarella.	€ 4,50
Mortazza	La Pizzeria	Le Bianche	Mozzarella, Mortadella, Burrata, Pesto di Pistacchio, Polvere di Pistacchio, Scaglie.	€ 10,00
Burrata	La Pizzeria	Le Bianche	Mozzarella, Bresaola, Pesto di Pistacchio, Stracciatella di Burrata, Polvere di Pistacchio.	€ 11,00
Esotica	La Pizzeria	Le Bianche	Mozzarella, Pesto di Pistacchio, Melanzane, Bacon, Ciliegino.	€ 8,50
Zucchine & Gamberetti	La Pizzeria	Le Marinare	Salsa, Mozzarella, Zucchine, Gamberetti*, Prezzemolo.	€ 9,00
Al Salmone	La Pizzeria	Le Marinare	Salsa, Mozzarella, Salmone Affumicato, Granella di Pistacchio.	€ 9,00
Frutti di Mare	La Pizzeria	Le Marinare	Salsa, Frutti di Mare*, Prezzemolo, Olio all'Aglio.	€ 10,00
Spada & Menta	La Pizzeria	Le Marinare	Salsa, Mozzarella, Pesce Spada*, Melanzane, Ciliegino, Menta Fresca.	€ 12,00
Bomba	La Pizzeria	Le Speciali	Un'esplosione di sapori per palati audaci. La mozzarella cremosa incontra il pizzico ardente del salame piccante, abbinato a funghi saporiti e peperoni croccanti. Il tocco finale? Un filo di Tabasco per un'esperienza gustativa che risveglia i sensi.	€ 7,50
Rustica	La Pizzeria	Le Speciali	Un omaggio ai sapori della campagna. Salsa di pomodoro e mozzarella si uniscono al salame piccante e alla salsiccia rustica. La dolcezza della cipolla e il croccante pangrattato completano questa delizia rurale.	€ 7,50
Kebab	La Pizzeria	Le Speciali	Un'avventura culinaria esotica. Salsa di pomodoro e kebab speziato incontrano l'aroma fresco della cipolla e la croccantezza della lattuga. Pomodori ciliegino freschi e un duplice tocco di salsa yogurt e piccante per un finale indimenticabile.	€ 8,00
AperiPizza	La Pizzeria	Le Speciali	 Un'opera d'arte culinaria. Salsa tradizionale e mozzarella si fondono con salame piccante e salsiccia, arricchite da funghi tartufati. Coronata da patatine croccanti, questa pizza è un trionfo di sapori.	€ 9,00
Bacon Chips	La Pizzeria	Le Speciali	Un capolavoro di gusti. Questa pizza combina salsa e mozzarella con patate lesse cremose, bacon sfizioso e cipolla dolce, completata da scaglie che esaltano ogni morso.	€ 8,00
Trentina	La Pizzeria	Le Speciali	Un viaggio nei sapori del Nord Italia. Una base innovativa di salsa alle noci si sposa con la mozzarella filante, lo speck affumicato e il radicchio croccante, creando un'esperienza gustativa unica e indimenticabile.	€ 9,00
Carciofotta	La Pizzeria	Le Speciali	Un capolavoro di sapore e texture. Una base di salsa e mozzarella si fonde con una vellutata crema di carciofi, mentre il salame piccante e i funghi porcini aggiungono profondità. Il tocco finale di gorgonzola arricchisce ogni boccone con un sapore unico.	€ 9,00
Zuccotta	La Pizzeria	Le Speciali	Un'esplosione autunnale di sapori. La base di crema di zucca si fonde armoniosamente con la mozzarella e la salsiccia, mentre la polvere di rosmarino e le scaglie apportano una sorprendente finezza.	€ 9,00
Mia	La Pizzeria	Le Speciali	Una sinfonia di sapori delicati. La dolcezza della salsa di datterino giallo e la freschezza dei ciliegini di mozzarella si fondono con il tonno di qualità. Granella di pistacchio e basilico arricchiscono questa creazione con note croccanti e aromatiche.	€ 12,00
Stracciata	La Pizzeria	Le Speciali	Eleganza e gusto si fondono. La base di salsa e mozzarella si unisce alla bresaola raffinata, impreziosita da ciliegini gialli e completata da petali di mandorla tostata e la cremosità della stracciatella di bufala.	€ 12,00
Sublime	La Pizzeria	Le Speciali	Un'esperienza culinaria che incanta. Mozzarella filante, crema di asparagi e crema di bufala allo zafferano creano una base ineguagliabile, esaltata dal prosciutto crudo e dai pomodori secchi per un gusto pieno e avvolgente.	€ 13,00
Il Tagliere	Le Specialità	I Taglieri	Fritto Misto, Rosticceria Mignon, Salumi & Formaggi, Olive, Carciofi Grigliati, Funghi Grigliati, Pomodoro Secco.	€ 10,00 pp.
Tagliere Giropizza	Le Specialità	I Taglieri	Il Tagliere con incluso il Giro Pizza (escluso bevande).	€ 18,00 pp.
Fritto Misto Piccolo	Le Specialità	Fritture	Patatine*, Mozzarelline*, Olive all'Ascolana*, Panelle*, Crocchette*.	€ 2,50
Fritto Misto Medio	Le Specialità	Fritture	Patatine*, Mozzarelline*, Olive all'Ascolana*, Panelle*, Crocchette*.	€ 7,50
Fritto Misto Grande	Le Specialità	Fritture	Patatine*, Mozzarelline*, Olive all'Ascolana*, Panelle*, Crocchette*.	€ 12,50
Kebab	Le Specialità	I Pan Pizza	Kebab*, Cipolla, Lattuga, Ciliegino, Salsa Yogurt, Salsa Piccante.	€ 5,00
Al Crudo	Le Specialità	I Pan Pizza	Rucola, Prosciutto Crudo, Ciliegino, Scaglie.	€ 4,00
Al Tonno	Le Specialità	I Pan Pizza	Mozzarella, Tonno, Ciliegino, Scaglie.	€ 4,50
Caprese	Le Specialità	I Pan Pizza	Mozzarella, Pomodoro, Basilico, Origano, Olio.	€ 4,50
Acqua Naturale	Il Beverage	Le Bevande	Bottiglia 0,5L	€ 1,00
Acqua Naturale	Il Beverage	Le Bevande	Bottiglia 1L	€ 2,00
Acqua Frizzante	Il Beverage	Le Bevande	Bottiglia 0,5L	€ 1,00
Acqua Frizzante	Il Beverage	Le Bevande	Bottiglia 1L	€ 2,00
Coca Cola	Il Beverage	Le Bevande	Vetro 0,33L	€ 2,50
Coca Cola	Il Beverage	Le Bevande	Bottiglia 1L	€ 3,50
Coca Cola Zero	Il Beverage	Le Bevande	Vetro 0,33L	€ 2,50
Sprite	Il Beverage	Le Bevande	Vetro 0,33L	€ 2,50
Fanta	Il Beverage	Le Bevande	Vetro 0,33L	€ 2,50
The	Il Beverage	Le Bevande	Limone - Pesca	€ 2,50
Chinò Sanpellegrino	Il Beverage	Le Bevande	Vetro 0,33L	€ 2,50
Red Bull	Il Beverage	Le Bevande	Lattina 0,25L	€ 3,00
Crodino	Il Beverage	Le Bevande	Biondo	€ 2,50
Crodino Twist	Il Beverage	Le Bevande	Frutti Rossi	€ 3,00
Campari Soda	Il Beverage	Le Bevande		€ 2,50
Ginger Beer	Il Beverage	Le Bevande		€ 3,00
Schweppes	Il Beverage	Le Bevande	Limone - Tonica	€ 2,50
Spuma Gassosa	Il Beverage	Le Bevande		€ 1,50
Beck's	Il Beverage	Le Birre	0,33L	€ 2,50
Heineken	Il Beverage	Le Birre	0,33L	€ 2,50
Nastro Azzurro	Il Beverage	Le Birre	0,33L	€ 2,50
Tennent's	Il Beverage	Le Birre	0,33L	€ 4,00
Ceres	Il Beverage	Le Birre	0,33L	€ 4,00
Paulaner	Il Beverage	Le Birre	0,50L	€ 5,00
Birra Messina Cristalli di Sali	Il Beverage	Le Birre	0,33L	€ 3,50
Birra della Stretto	Il Beverage	Le Birre	0,33L	€ 3,00
Leffe Rossa	Il Beverage	Le Birre	0,33L	€ 4,50
Firriato Charme Bianco Frizzante	Il Beverage	I Vini	Calice	€ 5,00
Barone Montalto	Il Beverage	I Vini	Calice: Passivento Rosso	€ 5,00
Barone Montalto	Il Beverage	I Vini	Calice: Syrah	€ 4,00
Cristo di Campobello Rosso	Il Beverage	I Vini	Calice: Nero d'Avola	€ 4,00
Cristo di Campobello Bianco	Il Beverage	I Vini	Calice: Grillo	€ 4,00
Firriato Altavilla della Corte	Il Beverage	I Vini	Calice: Grillo	€ 4,00
Fina Kikè	Il Beverage	I Vini	Calice: Sauvignon Blanc	€ 4,00
Mandrarossa Urra di Mare	Il Beverage	I Vini	Calice: Sauvignon Blanc	€ 4,00
Firriato Charme Bianco Frizzante	Il Beverage	I Vini	Bottiglia	€ 20,00
Barone Montalto	Il Beverage	I Vini	Bottiglia: Passivento Rosso	€ 20,00
Barone Montalto	Il Beverage	I Vini	Bottiglia: Syrah	€ 18,00
Cristo di Campobello Rosso	Il Beverage	I Vini	Bottiglia: Nero d'Avola	€ 18,00
Cristo di Campobello Bianco	Il Beverage	I Vini	Bottiglia: Grillo	€ 18,00
Firriato Altavilla della Corte	Il Beverage	I Vini	Bottiglia: Grillo	€ 18,00
Fina Kikè	Il Beverage	I Vini	Bottiglia: Sauvignon Blanc	€ 18,00
Mandrarossa Urra di Mare	Il Beverage	I Vini	Bottiglia: Sauvignon Blanc	€ 18,00
Jägermeister	Il Beverage	Gli Amari		€ 4,00
Amaro del Capo	Il Beverage	Gli Amari		€ 4,00
Amaro Averna	Il Beverage	Gli Amari		€ 4,00
Disaronno	Il Beverage	Gli Amari		€ 4,00
Vecchia Romagna	Il Beverage	Gli Amari		€ 4,00
Old Fashioned	I Cocktails	I Classici	Whiskey, Angostura Bitters, Zucchero.	€ 5,00
Mojito	I Cocktails	I Classici	Rum Bianco, Soda Water, Foglie di Menta, Sciroppo di Zucchero, Lime.	€ 5,00
Daiquiri	I Cocktails	I Classici	Rum Bianco, Lime, Sciroppo di Zucchero, Cointreau.	€ 5,00
Long Island Ice Tea	I Cocktails	I Classici	Vodka, Rum bianco, Gin, Cointreau, Tequila Bianca, Limone, Sciroppo di Zucchero, Top di Coca Cola.	€ 5,00
Japanase Ice Tea	I Cocktails	I Classici	Vodka, Rum bianco, Gin, Tequila Bianca, Midori, Limone, Sciroppo di Zucchero, Top di Limonata.	€ 5,00
Negroni	I Cocktails	I Classici	Gin, Campari bitter, Vermouth Rosso.	€ 5,00
Americano	I Cocktails	I Classici	Soda Water, Campari Bitter, Vermouth Rosso.	€ 5,00
Margarita	I Cocktails	I Classici	Tequila Bianca, Cointreau, Lime, Crustas di Sale.	€ 5,00
Moscow Mule	I Cocktails	I Classici	Vodka, Lime, Ginger Beer.	€ 5,00
Sex on the Beach	I Cocktails	I Classici	Vodka, Liquore alla Pesca, Succo d'Arancia, Succo Cranberry.	€ 5,00
Whiskey Sour	I Cocktails	I Classici	Bourbon Whiskey, Succo di Limone, Sciroppo di Zucchero, Albume d’Uovo.	€ 5,00
Aperol Spritz	I Cocktails	Gli Spritz	Aperol, Prosecco, Soda Water.	€ 5,00
Campari Spritz	I Cocktails	Gli Spritz	Campari Bitter, Prosecco, Soda Water.	€ 5,00
Melon Spritz	I Cocktails	Gli Spritz	Midori, Prosecco, Soda Water.	€ 5,00
Hugo Spritz	I Cocktails	Gli Spritz	St-Germain, Prosecco, Soda Water, Foglie di Menta, Spicchi di Lime.	€ 6,00
Mandarin Spritz	I Cocktails	Gli Spritz	Mandarin, Prosecco, Soda Water.	€ 5,00
Aperi-Spritz	I Cocktails	Gli Spritz	Liquore al Fico, Succo di Mela, Prosecco, Soda Water.	€ 6,00
Giulia's Heart	I Cocktails	I Signature	Tequila Bianca, Pestato di Lamponi, Succo d’Ananas, Succo di Limone, Acqua di Rose.	€ 10,00
Purple Rain	I Cocktails	I Signature	Iovem, Passoa, Sciroppo ai Fiori di Sambuco, Succo di Limone, Top di Tonica.	€ 10,00
Autumn in San Giovanni	I Cocktails	I Signature	Rum Bianco, Mandarinetto, Sciroppo al Mandarino Home Made, Succo di Limone, Albume d’Uovo, Bitter all’Arancia.	€ 10,00
Fico Sto Mai Tai	I Cocktails	I Signature	Rum Bianco, Rum Scuro, Liquore al Fico, Orzata, Succo di Lime.	€ 9,00
Virgin Mojito	I Cocktails	Gli Alchol Free	Soda Water, Foglie di Menta, Sciroppo di Zucchero, Lime.	€ 3,50
Virgin Colada	I Cocktails	Gli Alchol Free	Succo d'Ananas, Latte di Cocco.	€ 3,50
Sunset on Monte Cammarata	I Cocktails	Gli Alchol Free	Succo d’Arancia, Succo d’Ananas, Succo di Limone, Succo di Mela, Granatina.	€ 3,50
Spicy Freshness	I Cocktails	Gli Alchol Free	Ginger Beer, Lime, Sciroppo di Zucchero, Zenzero.	€ 3,50